model_id,calls,passed,pass_rate,avg_latency_seconds,p50_latency_seconds,p95_latency_seconds,latency_stdev_seconds,prompt_tokens,visible_completion_tokens,estimated_billed_output_tokens,total_tokens,estimated_token_cost_usd,estimated_cost_per_pass_usd,pricing_note
claude-opus-4.8-adb,50,50,100.0%,7.9,7.657,10.225,1.725,29390,16163,16163,45553,0.551025,0.01102,Anthropic public token pricing equivalent; ADB contract may differ.
glm-5.1-foundry,50,46,92.0%,19.959,19.997,34.116,10.871,17490,53954,53954,71444,0.261884,0.005693,Z.AI/Fireworks official pricing equivalent; Azure Foundry/Fireworks public numeric price not exposed.
gpt-5.5-foundry,50,50,100.0%,8.674,7.429,14.484,3.313,17940,22371,22371,40311,0.76083,0.015217,OpenAI public API equivalent; Azure run used PTU-hour billing.
grok-4.3-foundry,50,50,100.0%,18.54,19.465,28.399,5.907,17470,9700,79075,96545,0.219525,0.004391,xAI official public token pricing equivalent.
kimi-k2.6-foundry,50,38,76.0%,25.003,20.555,46.272,16.037,14174,89458,89458,103632,0.371297,0.009771,Kimi official API pricing equivalent; Azure Foundry public numeric price not exposed.
minimax-m2.5-foundry,50,36,72.0%,10.337,9.417,15.342,3.223,18410,44602,44602,63012,0.059045,0.00164,MiniMax official API pricing equivalent; Azure Foundry/Fireworks public numeric price not exposed.
